paper,year,love.lbs,lovewt.low50,lovewt.high50,lovewt.low90,lovewt.high90
1801,2018,205,200,220,190,240
1802,2018,250,225,300,175,325
1803,2018,250,200,300,180,350
1804,2018,270,260,290,200,300
1805,2018,242,240,255,220,275
1806,2018,175,150,200,100,250
1807,2018,170,160,180,150,190
1808,2018,230,225,230,220,260
1809,2018,200,190,210,180,280
1810,2018,220,210,230,200,240
1811,2018,154,140,170,150,160
1812,2018,300,280,320,240,360
1813,2018,265,230,280,190,325
1814,2018,220,180,200,210,220
1815,2018,190,185,195,185,190
1816,2018,170,145,195,160,180
1817,2018,230,210,250,190,270
1818,2018,205,150,275,200,230
1819,2018,240,210,270,195,285
1820,2018,300,300,350,250,350
1821,2018,240,220,250,200,275
1822,2018,190,170,210,160,230
1823,2018,180,175,185,150,250
1824,2018,280,260,330,250,380
1825,2018,210,180,280,206,216
1826,2018,220,210,250,200,300
1827,2018,230,200,275,215,250
1828,2018,280,270,290,250,310
1829,2018,220,220,300,200,300
1830,2018,220,210,230,190,250
1831,2018,250,245,255,230,270
1832,2018,177,175,185,165,195
1833,2018,260,250,270,230,290
1834,2018,190,190,210,170,280
1835,2018,210,200,220,200,250
1836,2018,242,235,255,220,270
1837,2018,250,220,270,200,300
1838,2018,220,205,225,195,260
1839,2018,250,220,280,180,320
1840,2018,280,305,325,225,325
1841,2018,190,170,210,140,240
1842,2018,200,150,300,180,220
